"End of Period","Credit Number","Region","Country / Economy Code","Country / Economy","Borrower","Credit Status","Service Charge Rate","Currency of Commitment","Project ID","Project Name","Original Principal Amount (US$)","Cancelled Amount (US$)","Undisbursed Amount (US$)","Disbursed Amount (US$)","Repaid to IDA (US$)","Due to IDA (US$)","Exchange Adjustment (US$)","Borrowers Obligation (US$)","Sold 3rd Party (US$)","Repaid 3rd Party (US$)","Due 3rd Party (US$)","Credits Held (US$)","First Repayment Date","Last Repayment Date","Agreement Signing Date","Board Approval Date","Effective Date (Most Recent)","Closed Date (Most Recent)","Last Disbursement Date"
"2024-09-30","IDA01010","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","USD","P002895","EDUCATION I","11879480.31","615206.08","0","11264274.23","11264274.23","0","0","0","0","0","0","0","1977-09-01","2017-03-01","1967-04-21","1967-04-18","1967-05-24","1973-06-30",""
"2024-09-30","IDA01080","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","USD","P002897","ROADS","5916087.94","547580.98","0","5368506.96","5368506.96","0","0","0","0","0","0","0","1977-10-01","2017-04-01","1967-07-28","1967-07-20","1967-08-10","1975-06-30",""
"2024-09-30","IDA01090","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","USD","P002896","TEA GROWERS CORP.","4025707.97","268987.55","0","3756720.42","3756720.42","0","0","0","0","0","0","0","1977-08-01","2017-02-01","1967-09-15","1967-09-12","1968-01-31","1972-06-30",""
"2024-09-30","IDA01300","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","USD","P002898","BEEF RANCHING","3498437.3","348477.54","0","3149959.76","3149959.76","0","0","0","0","0","0","0","1978-09-15","2018-03-15","1968-10-05","1968-09-24","1969-01-21","1973-12-31",""
"2024-09-30","IDA01640","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","USD","P002899","ROADS II","13032534.16","0","0","13032534.16","13032534.16","0","0","0","0","0","0","0","1980-03-15","2019-09-15","1969-09-29","1969-09-23","1969-12-01","1980-06-30",""
"2024-09-30","IDA02120","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","USD","P002900","TOBACCO FARMING","4158804.98","0","0","4158804.98","4158804.98","0","0","0","0","0","0","0","1980-09-15","2020-03-15","1970-07-24","1970-07-21","1971-07-28","1975-12-31",""
"2024-09-30","IDA02580","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","USD","P002901","EDUCATION II","7300000","1290.61","0","7298709.39","7298709.39","0","0","0","0","0","0","0","1981-09-15","2021-03-15","1971-06-23","1971-06-17","1971-10-26","1981-12-31",""
"2024-09-30","IDA09830","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","USD","P002902","RECONSTRUCTION CREDI","72500000","0","0","72500000","55000000","0","0","0","17500000","17500000","0","0","1990-06-01","2029-12-01","1980-04-02","1980-02-19","1980-05-01","1982-12-31",""
"2024-09-30","IDA10770","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002904","TECHNICAL ASSISTANCE","8000000","0","0","6672067.04","8547485.64","0","0","0","0","0","0","0","1991-06-01","2030-12-01","1981-01-21","1980-12-02","1981-03-26","1985-12-31",""
"2024-09-30","IDA11100","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002903","WATER ENGR.","9000000","0","0","7660444.18","9480223.21","0.01","0","0.01","0","0","0","0.01","1991-07-01","2031-01-01","1981-05-07","1981-03-17","1981-10-05","1987-01-31",""
"2024-09-30","IDA12280","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002906","PHOSPHATE ENGR.","4000000","79631.92","0","3623633.95","4578810.04","0","0","0","0","0","0","0","1992-07-01","2032-01-01","1982-06-14","1982-04-13","1982-09-02","1985-10-31",""
